Index Name,Backbone Type,Dual or Single,Sequencing Technology,Index Side,Index Pairing,Index Set Name,Publish to manifest - Adds cycle lengths automatically

Index_1,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_2,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_3,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_4,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_5,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_6,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_7,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_8,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_9,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_10,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_11,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_12,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_13,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_14,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_15,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_16,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_18,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_19,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_20,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_21,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_22,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_23,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_25,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1
Index_27,TruSeqLT,SINGLEINDEX,ILLUMINA,i7,,Illumina - TruSeq Single Indexes,1

D701,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D702,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D703,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D704,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D705,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D706,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D707,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D708,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
D709,TruSeqHT,DUALINDEX,ILLUMINA,i7,D501|D502|D503|D504|D505|D506|D507|D508,Illumina - TruSeq DNA and RNA CD Indexes,1
